Est	Sd.Err	Odds.Ratio	Pr
(Intercept)	-5.096	0.635	0.006	9.63e-16
age	0.058	0.004	1.06	3.54e-47
gender	-0.005	0.105	0.995	0.959
black	0.616	0.129	1.852	1.63e-06
mexAmer	-0.475	0.175	0.622	0.00665
hispanic	0.042	0.176	1.043	0.811
asian	0.198	0.164	1.219	0.226
otherRace	0.129	0.214	1.137	0.548
someHS	-0.124	0.228	0.883	0.585
HSGrad	0.165	0.21	1.179	0.433
someCollege	0.186	0.208	1.205	0.37
collegeGrad	-0.121	0.228	0.886	0.596
married	-0.139	0.158	0.87	0.379
widowed	-0.033	0.225	0.968	0.885
divorced	-0.043	0.189	0.958	0.821
separated	-0.136	0.277	0.873	0.623
livingWithPartner	-0.063	0.223	0.939	0.778
incomePoverty	0.039	0.035	1.04	0.262
dailyAlc	0.069	0.263	1.071	0.794
weeklyAlc	0.105	0.138	1.111	0.446
monthlyAlc	0.012	0.146	1.012	0.937
yearlyAlc	0.075	0.126	1.078	0.55
smokeEveryDay	-0.029	0.147	0.971	0.844
smokeSomeDays	0.088	0.257	1.092	0.733
fairDiet	0.136	0.204	1.146	0.505
goodDiet	-0.044	0.2	0.957	0.825
veryGoodDiet	-0.214	0.218	0.807	0.325
excellentDiet	-0.48	0.268	0.619	0.0729
sleepWeekdays	0.014	0.037	1.014	0.697
sleepWeekends	-0.033	0.034	0.968	0.334
vigWork	0.006	0.021	1.006	0.765
modWork	0.004	0.015	1.004	0.767
vigRec	-0.059	0.036	0.943	0.0978
modRec	-0.017	0.017	0.983	0.298
sedentary	0.004	0.004	1.004	0.383
bmi	0.059	0.007	1.061	2.64e-16
pulse	-0.001	0.004	0.999	0.902
cholesterol	-0.003	0.001	0.997	0.0138
ferritin	0.001	0	1.001	0.0032
diabetes	0.697	0.132	2.008	1.3e-07
thyroidProblem	0.098	0.143	1.103	0.49
