highBP	variable	mean	sd	median	min	max
No highBP	age	47.784588441331	15.9404281041686	46	24	80
No highBP	incomePoverty	2.61045096322242	1.62196338946147	2.16	5.39760534693403e-79	5
No highBP	sleepWeekdays	7.50788091068301	1.55443752386414	7.5	2	14
No highBP	sleepWeekends	8.29662872154116	1.63048112518558	8	2	14
No highBP	vigWork	1.10989492119089	2.09094750938002	0	0	7
No highBP	modWork	2.02583187390543	3.19572342898026	0	0	99
No highBP	vigRec	0.959281961471103	1.75718451663453	0	0	7
No highBP	modRec	1.59369527145359	2.95053015807565	0	0	99
No highBP	sedentary	5.59466579100992	7.51726755288922	5	8.99600891155671e-81	166.65
No highBP	bmi	28.8693957968476	7.11060268236376	27.6	15.5	74.8
No highBP	pulse	71.5945709281961	11.4072575410463	70	34	126
No highBP	cholesterol	191.502626970228	40.6125943853156	188	79	431
No highBP	ferritin	147.398104203152	169.556586495611	102	1.94	2430
HighBP	age	61.1894389438944	13.8087194856352	62	24	80
HighBP	incomePoverty	2.60566336633663	1.59949017808793	2.22	5.39760534693403e-79	5
HighBP	sleepWeekdays	7.58019801980198	1.6829249598457	7.5	2	14
HighBP	sleepWeekends	8.06501650165016	1.82541247299264	8	2	14
HighBP	vigWork	0.875247524752475	3.08182358029113	0	0	99
HighBP	modWork	1.78547854785479	4.21258733161165	0	0	99
HighBP	vigRec	0.433663366336634	1.23095348344797	0	0	7
HighBP	modRec	1.31485148514851	2.02148562264952	0	0	7
HighBP	sedentary	6.91244224422442	12.7914690464564	5	8.99600891155671e-81	166.65
HighBP	bmi	31.5184818481848	7.24118570960662	30.4	15.5	84.4
HighBP	pulse	70.9095709570957	11.9335071935007	70	42	136
HighBP	cholesterol	186.521452145215	43.3280629481749	183	81	446
HighBP	ferritin	185.662534653465	204.381891184532	123	2.91	2030
